,Content,Polarity
90,rajoy quier españ vuelv ten relev europ {link},0
91,polit q respond ningun pais dl mund homolog nstro toler semej practic {link} via,1
92,obvi cont declar q permit pregunt,1
93,pod falt dominguit tierr final davis cuña {link},0
94,palm sevillan anim raf sevillaciudadtalism copadavis,0
95,'chic & rita' premi europe mejor cint anim {link},0
96,vam equip vam nadal tod españ man mejor contig vam ser campeon elorri,0
97,passing escalofri line pon nadal tercerol ensalader mas cercavamosraf copadavis ole,0
98,dic q rey cartuj hoy dia q tve q sac ratohac patri ser imparcial,0
99,“ segund apell camell ver rey magos”t doy cart dasjajj bss,0
100,“ ojo apell mol tal broma” seri mol jajjaj,0
101,viaj embaj catalan derroch - abces {link} via,1
102,set gan public argentin potr tir toall comenz cant van gan raf pued vamosraf,0
103,“ cre puest respond tweets apell iphon cosasquenuncaentender ”jaajjajajj,0
104,amonest public argentin cartuj,1
105,raf salud equip argentin tall campeon,0
106,quint ensalader nadal salud equip argentin ahor public oe oe oe,0
107,aqu lleg fin quint ensalader graci miembr equip hoy much gent dorm feliz,0
108,grand abraz nadal equip argentin impresion sab gan campeon,0
109,grandios raf nadal,0
110,public cant grit par quier dar raf corazon sig tod part graci ser español,0
111,felic equip español cop davis ejempl esfuerz ilusion super rbcb,0
112,fantast mejor “ parec fot elprimernaufragi {link} {link},0
113,fin impun internet {link},0
114,parec dign ministr italian trabaj llor parec ris berlusconi,1
115,blog lagrim tecnocrat {link},1
116,ministr d fin ineptocraci {link},1
117,port public mañan urdangarin sa dentr list entidad pag noos {link},1
118,buen dias quer twiter,0
119,graci venezuel {link},0
120,bdi elisabeth orgull em localiz remot lug rumani testig acud juici,0
121,com explic mil español ausent mas trabaj puent mientr españ millon par,1
122,mas president autonom autogobiern graci constitucionper cumpl hac cumpl fueradelaley,1
123,accident rt lleg {link},1
124,dani garc recog libr tap acerc cocin socied {link},0
125,gobiern chin cre pais prepar protest social - {link},1
126,upyd amaiur recurrir justici si logr grup justici dio pod mes congres cas simil,1
127,mientr verdader problem agrav año tras año {link},1
128,bonit desplieg segur alfons xii contravigil tod manzan nadi gobiern,0
129,desafi period encontr siti perd vigil pod via {link},0
130,acept caramel president dos años famp si refund {link},1
131,rarit q si españ trat eleg años caos miseri {link},1
132,rt trist pau {link} &lt {link},1
133,jooooo - rt dic quier rap estrof villanc sient toni aqu,0
134,detien dos sospech secuestr cooper español tinduf intent vend aqmi {link} v,1
135,tod “ sr grab salud lad jej españ buen tarde”,0
136,entiend unfollow acept desconciert reconoc error cre lug anunci venganz radiofon,0
137,- rt fw much suert primer entrev aqu hastag ynterviumarivi,0
138,españ gast mas sanid tof presupuest sanid nuñez feijo,1
139,primer entrev direct twitt si quier segu busc hastag ynterviumarivi l {link},0
140,feliz dia voluntari hëro anon sacrifici eleccion propi graci,0
141,graci rt ynterviumarivi interes entrev nuev herramient nuev form comunic,0
142,graci pac rt ynterviumarivi muchisim graci bes cuelg ratit {link},0
143,aunqu menor med much madr supermujer gran post {link},0
144,vez q habl protector franco-aleman europ veloc hech ahor falt ver dond qued españ,1
145,impresion enhorabuen bes percebeir dav beriain goy {link},0
146,sorgiñ culebr cabron negr barb larg,1
147,enough today seman larg segur apasion recomend,0
148,voy leer rat 'un dia vida' ryszard kapuscinscki gran descubr reporter polac {link},0
149,despeg yaqu lind pais lind gent --shak,0
150,bon celebr ultim fiest congres pregunt si viv españ rne arranc,0
151,trist rt rt pap catalan fach barcelon cataluñ {link},1
152,extorsion mafios carl garc - {link} via,1
153,se sorprend pp present presupuest tard negoci carg univers recort derech,1
154,plante rajoy sub iva {link},1
155,constitu constitu cuant viaj com gratis dad nombr feliz dia,1
156,buen dias party tim,0
157,hoy dia constitu acuerd cad dia millon person baj umbral pobrez vivalaconstitucion,1
158,monti dic cobr prim ministr demagogi popul hac trag ricin recort aristocraci financ,1
159,chacon conf democraci intern part dia constitu congres,0
160,congres primer ley desarroll reform constitu xra garantiz estabil presupuestari dir zp n brusel,0
161,empiez acto homenaj constitu proxim president gobiern vivalaconstitucion {link},0
162,bon zp dad mejor españ moment dificil rajoy dese aciert decision x bien,0
163,gallardon habl amig zapater guerr alons pepiñ recib cariñ period amig,0
164,enchuf vay zp {link},1
165,rajoy romp silenci fiest congres plag ausent {link},1
166,institu deb hac dl dia d l constitu fiest civic d todosdestac valor democrat acto polit,0
167,algun ca cataluñ siqu acto institucional dia hoyn interes record laconstitucionquenosun,1
168,agrad coincid amig mechor denunci tecnic mafi euskadi,0
169,dios tan real da mied anim mamas trabaj pod supermujer {link},0
170,yagriñan ve impos ser imput cas ere {link},1
171,graci segu -,0
172,ahi va editorial rt favor cã³mo pas -m impostor testig carg {link},1
173,ver aclar entrad aqu actor esper terratpack {link},0
174,muse cuev nerj abre prevision visit año {link},0
175,“ period sid asesin ultim año hondur {link},1
176,ahor si desp lav piñ ¨pa¨ cam hol bes buen noch veo acab lleg,0
177,q sab segur q entend,0
178,sinton total rajoy zapater import matic rubalc recepcion dia constitu {link},0
179,merkel sarkozy rind encant president rajoy {link} via,0
180,rt sr mas garantiz sanid public calid universal anticonstitucional celebr dia constitucion,1
181,buen dias president gobiern plen verdader lid d oposicion part pon d acuerd lueg posibl,1
182,europ constru recort bienest auster si inteligent bienest modern inversion cre emple,1
183,dejeis ver vide acab rt declar j- fija bermudez minut zougam merec juici,0
184,bdi vay tiemp hac hoy niebl parec boc lob fri fri apetec calent pal cuerp,1
185,buen dias adjunt column hoy neces d reform constitucional {link},0
186,dond saldr diner banc mal rajoy segun wsj {link},1
187,rt graci marivi rt encant ver aqui -,0
188,amig compañer part {link},0
189,interes analisis ret social {link},0
190,igualmente“ respond dentr nuev mes inmens plac tenert hoy ”,0
191,pilot iberi pon riesg viaj navid mil person huelg dias diciembr,1
192,quer potenci estimul mejor alumn impart profesor funcionari,0
193,novi cristian ronald irin nombr prefier jug camiset ve apreci color {link},1
194,exig banc interven diner public line d credit pymes autonom nuev empres contrat,1
195,lectur navideñ recomend ret rajoy raf bardaj,0
196,felip suspend cen conciabul cont,1
197,sind echa man chequer benefici amig cont top secret,1
198,andaluc pretend 'robar' colegi cur monj cont,1
199,torr esper lleg acuerd puert trasl crucer {link},0
200,ayunt plante proyect mejor accesibil teatr roman {link},0
201,nunc dich “ qued eta”,1
202,hoy gat juan rosell favor banc mal {link},1
203,mañan cont pais charl iñaki urdangarin convenc jaum mat firm conveni noos,0
204,llam iu antisistem denunci reform merc hech constitu anticonstitucional,1
205,jej rt sient mañan echad unas ris cost,0
206,interes milit q vot deleg congres rt “ guadalaj abriend camin {link} v,0
207,lastim hoy termin aca futbol siempr revanch equip pel grand cos,1
208,siempr - rt graci,0
209,graci principal chil unid {link} podeis visit cont {link},0
210,ahor dic regal cam banc sabadell carg fond garant olvid frob financi fond public,0
211,disculp confund jesus cach,1
212,duqu ofrec mat amist leblanc llev tour balear logr contrat millon {link},0
213,rajoy acab entrar asamble pp europe sonrient punt comenz maraton reunion,0
214,hereder sombr imperi zar {link},0
215,+ rt “ lector chav nogal enhorabuen {link},0
216,excelent resum present ultim disc beb escrit fermin zabalegui {link},0
217,menu increibl {link},0
218,españ pais sobrecualif laboral tod union europe {link},1
219,cont si explot europ dic sarkozy,1
220,rajoy cumpl mand troik recort social banc mal pag ciudadan devalu emple salari,1
221,vide final cop davis sub youtub alcanz visit copadavis,0
222,bols baj prim sub razon bce sig neg actu merc deud vet aleman,1
223,gobiern funcion indult dos empresari conden defraud millon {link} / via,1
224,rt cosmet luj suit moscu despilfarr final sind {link} ah bueeen suit,1
225,parec indign ministr sind gast noch hotel moscu noch com famili person mes,1
226,q pag rt ultim dias mentir gord salud,1
227,verd “ miguel mont pres antigu españ llev años carcelvergonz vomitivo”,1
228,bien enhorabuen pelirroj,0
229,tempran muer sueñ descans muak,0
230,hac hazl pront “ pues mir lea epn leer jaja”,0
231,lider sig discut portavoc vend acuerd fond discut form euc,1
232,hoy ertzaintz descubiert unzulocon armament eta ocult mont bizkai municipi abadian elorri,1
233,curi insomn rajoy pid pod bloque fond rescat si dan fracas zp dos,1
234,{link} dej fot conciert palm mallorc ver visit luj recib noch,0
235,hac dos diasmuch rumor dias centr trabaj diari ilusion volv jug equipo”,0
236,resum larg agri noch brusel pact fiscal rein unid {link} by euc,1
237,bdi rein unid qued indic pais eur dad pas clav buen direccion union fiscal,0
238,rajoy actu ayer primer vez jef gobiern entro europ pis fuert promet exig mism hiz aznar,0
239,ultim entrad zp consej ue sonrient euc,0
240,ofens oid sord jod arranc mandibul zarpaz malditosorc,1
241,ahor toolat zapater ofrec rigor nombr rajoy recobr pes ue {link},0
242,rt “ period obtien document explic mied rein unid {link},1
243,rt papelon zp chipriot irlandes traductor pod habl adel papelon rajoy,1
244,merkel sark barros charl pie cameron sent sol car enfad euc,1
245,encontr nuev zul explos pais vasc mientr eta exist camin segu combat,1
246,- rt permis sum ff,0
247,ff rein mund,0
248,jajajaj rio llor rt cub dictadur,1
249,ff sab,0
250,increibl q aun exist gent defiend regim cubanoest veran cub oi nadi hacerloes izquierd trasnoch español,1
251,pas bien “ recom fall luj salud person {link},0
252,zapater dic rajoy comprend perfect cal ide vet sol fond rescat europe,0
253,graci chicos“ ultim estrell brill anten {link} {link},0
254,tunel roquill hierr cierr seman caus perd ecas consider {link},1
255,supon ced merkel dur negoci,1
256,- rt supuest ver sevill besaz -,0
257,guardiol rued prens alard pacienci ojal ahor transform beb echem unas ris,0
258,iron abandon,1
259,apoy cariñ luis aizpeole gran period excelent person,0
260,mejor timelin dispon {link} ▸ histori dia,0
261,mandamient hac buen campañ electoral {link},0
262,€urop £ibr conclusion cumbr eur aislamient definit rein {link},1
263,tem dej hoy amig sergi dalm rafit buen noch bs {link},0
264,tragedi cuban perd vid busc libert castr pag {link},1
265,lector algun problem particul encuentr mencion primer novel dec leer iñaki uriart,0
266,hart clasic cansin mund part cre pep saldr defens,1
267,jajaj hac reir si pelot dir mejor followers mund dig vais bien,0
268,gust nuev aplic twitt despist bastant ventaj veis anterior moment ningun,1
269,buen dia famili bes abraz gol tod,0
270,boe public hoy indult alfred saenz 'indulgent plenaria' dec borr excepcional antecedent penal,0
271,indult saenz borr antecedent penal q pued cumpl honorab q exig normat bancari,0
272,jajajajajj mierd nuev twitt locoooo,1
273,charl enric gonzalez mart gomez deb anim cre {link} via,0
274,“ hol hac rt encontr perr fot info {link},1
275,encant conocer “ {link} aqu redaccion mund graci sid plac cc ”,0
276,etarr encarcel pobr persegu pensamient delincuent fanat hech cos terribl,1
277,buen rt buen diput rt ple graci saludosel terc jinet {link},0
278,ir calent motor noch vay ver clasic,1
279,shakir gan ayer premi artist latin import influyent mund mejor artist int lengu español shakirahq,0
280,conscient import cultural musical sal maland vam busc solucion dueñ,0
281,competicion realabiertan simulacr futboler d aquivamospauer mas grand,0
282,tribunal cuent ve irregular contrat semestr europe presid zapater {link} via,1
283,clav part hoy mied si mou sac equip amarr gan barc madr sol pued gan si sal gan,0
284,je je“ grand teloner brotherneskens”,0
285,oid noch millon person veran part madr miabuen suert,0
286,hoy ver clasic pub londr dos madrid armas tom ver si llev alegr,0
287,nadi enfad noch pon tel perr hortelan ultim estupend pelicul pil mir,0
288,mejor timelin dispon {link} ▸ histori dia,0
289,agradec tod muestr cariñ q recib hoy aqu aquin palabr graci infinit,0
290,apag vamon mal pat,1
291,felicitats barça/ madr qued lig tomacomentariofutboler buen noch amig graci ser,0
292,“ conciert noch secret madr mencion enriqu urquijo” pantoj cre escuel,0
293,puntit sal charleston baezapor ciert enhorabuen fcb seguidor,0
294,parec desgraci fallec person guerrer,1
295,“ maaaj buen viaj parec dañ temblor pas mayor,0
296,buen abraz tod lueg,0
297,pued encontr vici tentacion cad esquin {link},1
298,merkozy equivoc {link} via,1
299,deb hab mas limit viej regl ofici busc verd verific respet buen practic period,0
300,reiter cuestion personal sin debat necesari va mas alla profesion periodismol red abre espaci nuev,0
301,herman - {link},0
302,foment deport practic valorescr urgent recuper ministeri agricultur,0
303,japon h asi q ir dorm jet lag vay rap sueñ,0
304,vuelv disney-,0
305,nervi {link},1
306,si da tiemp sub algun fot quieroooo,0
307,“ cuid palabr admir futbol independentista” losmerenguesescozi,1
308,“ catal cabron si rat soltais eur racanos” losmerengesescozi,1
309,eeuu fmi insatisfech result cumbr euroep mañan em analisis cumbr centr tar rajoy,1
310,grand quer estudi agri aun fin d seman horribilis madrid,1
311,grand prim equip maaadr,0
312,madr graci cariñ sid plac,0
313,mañan mañan monton asalari pp volv twitt dias tiemp acueduct,1
314,este nuev fantasmagor hospital toledo… vari años despues vea fot - {link},1
315,dvillepin candidat alas presidencial francesastfrencor acumul dosns dv,1
316,proposit actual recuerd gregori ordoñez {link},0
317,capaz mejor cancion tant vec oi cant mejor maner record quier {link},0
318,buen nochesdesd disney dig quier familiaaaa {link},0
319,muñec verd clava {link},0
320,llam salv favorit ahor comercial hoy qued sol cad equip,0
321,sub tarif taxis madrileñ medi d baj bander diurn sub cent pas eur,1
322,tard firm elprimernaufragi cort ingles diagonal barcelon fot dedicatori especial tuiter,0
323,interes articul manriqu pais {link},0
324,buen dias empiez seman bastant dur trabaj conciert segu altur tempor conviert ret,1
325,dia mas puert genov hoy portavoc president congres sen much quiniel poc certez,1
326,gener jaj,0
327,interes tribun jos manuel garcia-margall cumbr ue {link},0
328,confusion junt direct pp zoid presid xvii congres nacional febrer comision organiz dirig pedr sanz,1
329,dond sac tant fras ingeni gent explot almacen llam gent gener part,0
330,castill leon cabez rt propon jesus pos president congres,0
331,graci lueg contest particular,0
332,enhorabuen president congres sen jesus pos portavoc alfons alons jos manuel barreir,0
333,cruz sal rt miguel carcañ asi viv carcel buen repor {link},0
334,prepar gran espectacul juev ayunt va cobr vid sevillahoy {link},0
335,zapater dic aprob ley descarg internet presion red social,1
336,hav an amazing week everyonemuch peace//l seman comienz bien fuerz todpaz,0
337,graci q pens q period mas influyent despañ graciasenhorabuen,0
338,hech q valor fantast segu trabaj aun mas libert honradez inform graci,0
339,nuev adquisicion literari 'qu muert acompañe' {link} enhorabuen encontr,0
340,bastant acuerd eleccion aquã­ muj mãs atract {link} via,0
341,dej fot prim hoy cumpl ver si invit p {link},0
342,lun negr d urdangarin abogado-portvz ocurr cos q dec indign coñ asambleari asegur,1
343,abog indign xq rey inform indign segund,1
344,bast sobr dic tras qued diput ras congres {link} portavoz,0
345,perd prad nuev bruegel fiest vin restaur aqu maravill vici virtud sigl xvi tan modern,0
346,alexand kwaniewski ex president poloni poloni hac europ perd tiemp ganemosl,1
347,pte portavoz portavoz adjunt inclus portavoz rotatori desempeñ portavoz exist cort diput,1
348,estren noch radi,0
349,celebracion dificultad zon eur {link},1
350,{link} aqu dej videocapitul conciert jaen bes,0
351,eguigur social desiert cantimplor,1
352,mañan ador porqu ide siempr cre va pas buen,0
353,mañan mas segur segur segur mejor buenasnoch,0
354,graci rt * mexic rt vot cont {link},0
355,buen dias asi amanec madr {link},0
356,embarc gerundi mart ademas llamadm valient destin barcelon,0
357,rt enhorabuen tom posesion escañ congres sen dan inici x legislatur democraci,0
358,pregunt bermudez querell em respuest instruccion sumari podr practic prueb,1
359,empiez primer reunion grup popul congres nuev diut lleg despist veteran expect si acas,0
360,buen dias gent ador noch servici anoch disfrut espectacul compañ,0
361,lleg pos cont q bon dad buen consej dipu / comprom lleg bici congres,0
362,da igual corresponsal polit acredit permanent prens congres dej period call,1
363,aprob siet portavoc adjunt ratific teofil luis secretari tecnic bes,0
364,celebr hoy descans voy dentist tontoqueesun,0
365,amaiur grup sol diput pvasc navarr falt unas decim tom posesion moment,1
366,sol q tom prest diput for temporal “ grup parlamentari upyd,1
367,hoy asist diput constitu cam baj falt sol diput amaiur navarr,1
368,actual situacion econom hac urgent adopt medi control gast public auster administr asturi,1
369,recib pregunt nuev congres pued ped reenvi etiquet losnuev,0
370,famili graci mensaj aqu leyend dese feliz dia,0
371,ciu oblig rectific gisperty val todoinclus l xenofobi {link} muev arbolotr recog ls nuec,1
372,pues ocurr rt qe har si oscar gan lavoz divert fans =,0
373,enriquemorent bien chic besaz rt feliz m jefe va alla,0
374,jej bienven gringit fuert abraz enriquemorent rt cont {link},0
375,maravill besaz anorm tru princes rt cre cad cont {link},0
376,maniobr amaiurn tom posesion diput x navarran garantiz grup parlamentari ultim palabr mes congres,1
377,pues favor vot * graci rt gall,0
378,noch pas baj escaler vest amarill echandol sal gat mientr romp espej ver tsqv dilem,1
379,si parlament pued decir“ls español roban”l dur licenci decir“ls homosexual enfermos” stopfach,1
380,camps molt honor supong ciudadan quier vay bien vest {link},0
381,noved anecdot esper congres conviert circ guard respet merec {link},0
382,hac rob reclam bols vid ahor bols parec rob vid reclam mañan enter,1
383,mes acuerd part pued solicit grup juev ocho tard medi hor despues reun mes,0
384,cataluñ dic q diner pag nomin si financi cin lesbic cont,1
385,enhorabuen rt bottup unic proyect español 'citiz medi toolkit' changemakers+googl {link},0
386,nuev ai weiwei luch democraci chin {link},0
387,min agricultur har agroalimentari sector comp vertebr p- {link},0
388,aqu tod info entrad yes we spain is different barcelon {link} vam liar,1
389,bfff acord esta,1
390,teres cuniller pso premi luis carandell mejor relacion prens premiosapp,0
391,alvar nadal pp premi diput revel premiosapp,0
392,tan sol libr perd si estuvist esper q gust buen noch,0
393,joan rida erc premi azot gobiern premiosapp,0
394,tuit años diput llev ovacion noch app,0
395,algui mes rubalc levant man pregunt candidat lider premiosapp,0
396,uxu barc premi el' emili castelar' asoci period parlamentari merec,0
397,consej union europe defiend neutral internet propon med concret {link} interes,1
398,buen dias pas estupend miercol -,0
399,verd posibl q urdangarin mont lio tan tosc escandal q prefier pens q engañ asesor fiscal,1
400,bien pas carm “ plantill em andaluc sig celebr xv aniversari {link},0
401,muer hombr choc frontal vehicul q conduc contrari camiona- altur rod andaluciasevill,1
402,razon adrian mañan program feder “ sinvergüenzay qued corta”,1
403,alfons alons 'amaiur cumpl reglament form grup propio' | elmund {link},1
404,juez grande-marlask demand medi profundiz violenci machist,1
405,segun mont tal period q dic barbar altur trat miguel angel noced pais contrast /,1
406,dav perez nuev president feder madrileñ municipi,0
407,emt cerr año histor super primer vez millon viajer {link},0
408,compr torremolin navid premi eur {link},0
409,firm contrat obras bulev malag - opinion malag {link},0
410,cualqui reclam plante bas estatut {link},1
411,practic plural troc duopoli anten anunci 'fusion absorcion' sext {link},1
412,psoe- acept ningun enmiend oposicion presupuest {link},1
413,alons portavoz pso ton oposicion va ser respons progres vam defend interes gral ciudadan,0
414,“ rt deb dej ser portavoc sur ser altavoc sur encuentroongd” gust ide,0
415,sic transit muse cer estudi apart figur iñaki urdangarin famili real {link} via,1
416,agresion cam fotograf cuest cre version policial detencion fotoperiod {link},1
417,intermodal permit acerc negoci creacion nuev servici supon impuls cont {link},0
418,cad vez gust seccion energ posit,0
419,coler manzan {link} via encim enfadal getaf albacet cornell siempr,1
420,sig describ period quier ser ros mªcalaf nomic ana ros quintan buen,0
421,minijobs parec horror solucion magic problem españ reform merc laboral,1
422,merc navideñ manchestermuy bonit {link},0
423,plac - rt vem habitual ranking sesion extraordinari iesecampañ,0
424,pued evit siempr scott buen noch {link},0
425,doy pist va sent identific pais cercan,0
426,princip propon moderniz monarqu ocho menus navid crisis rihann {link},1
427,twitt noch va pedal desconect si vien cuest toc sub cataclock analog click,1
428,{link} bonit fot primer funcion conciert alicantebes,0
429,buenisim jajaj viaj rt ale vist avat vos,0
430,dad cualqui cos abraz madr sent presenci fond creyent potencialqueremoscr,0
431,madr habl señor plan inmaterial coment quier cort peloy,1
432,graci bes rt dias pa cumpleañ jej cont {link},0
433,» hart {link},1
434,bes amig vem friday,0
435,explosion pequeñ artefact junt estadi olimp cartuj / ocult jardiner {link},1
436,pid izquierd discut diferent cas enter cas puert abiert,1
437,buen dias oeoeoeoeoeoeoe shar ayer td enhorabuena todossss,0
438,rt segu llen map entidad don juguet nuev usad {link} conoc lug,0
439,voy atene valenci don sangr maraton organiz ser,0
440,discurs polit profesionaless trat empati pon piel escuch iesecampañ,0
441,christian amanpour vuelv cnn hac sab hac mejor inform internacional {link},0
442,mañan casi tod españ avis vient fuert dej map avis aemet viern {link},1
443,hoy inaugur renov metr cuadr call robled chavel {link},0
444,interes tribun proyect credibil part {link},0
445,medall cermi merit constitucional luis cay president agradec labor años gobiern zapater,0
446,info incorrecta“ crisis golpe terrat liquidez tras afront ere {link},1
447,mand anim dav vill tio espectacul sient alma lesion tan fuertement fuerz,0
448,si democrat radical conden eta,1
449,enhorabuen - rt much graci anim ayud segu crec,0
450,conden tod form autoritar liberal leccion just,1
451,const amaiur upyd pued deb ten grup parlamentari cre jurist congres higien polit,0
452,encant restaur restaur portofin {link},0
453,tom gomez explic plen asambleamadr jueg niñ llam jeng entiend cos tomas,1
454,buen parej - rt gran promes iesecampañ {link},0
455,cart corresponsal españ reclam mejor atencion medi comun {link},1
456,esper tratamient {link},1
457,romp regl perdon rap bes despaci ama mied riet q duel reconoc obsesion amimefuncion,0
458,jejej esoo bes rt holaa hac llam cont {link},0
459,mikel labo arranc alma escup vomit sap {link},1
460,rubalc esper discurs rajoy debat investidur va siend hor dig va hac,1
461,intransigent si conmig par pens opcion sin cinc cien,1
462,reunion mes congres convoc tard retras hor,1
463,recuerd rafael leon qued labor poetic cuid edicion impuls cultur màlag olvidaràn,0
464,deb explic gallardon pag eur urdangarin ayud perfil lem olimp {link},1
465,alert vient huracan cen empres cant himn bob esponj,1
466,trabaj ayud perfil lem urdangarin {link},1
467,plac “ graci jorn direccion campañ electoral iesecampañ ”,0
468,aun cerr asunt padr rt not falt hoy fyt,1
469,+ rt entreg armas entreg pid perdon victim sol entonc habl,1
470,si acab confirmarmel pso dic q inform infum,1
471,cobr ecolog pid dimision felip gonzalez ausenci dos consej doñan {link},1
472,design oficial javi aren candidat junt {link} vam ahoraandaluci,0
473,esper pso pong cant tem amaiur favor pront empez ser clar si,1
474,falt respet insult juez cas ere dec siend manipul {link},1
475,grand pabl mot hac pas bien program,0
476,“ pued peg perr parec peluche”siiiii jajajja,0
477,mes cuent promet constitu diput navarr amaiur villalob pp truc serv,1
478,rajoy habl tom med grat dic seincumpl promes {link},1
479,encant - i rat mad men ★★★★☆ {link},0
480,vist parec ambigu dic q llev membret oficial,1
481,primer solicitud recib envi especi entrad acced eventomerendolatuiter,0
482,- amor arte rt enhorabuen hech buen contrat mision,0
483,amaiur cumpl requisit grup parlamentari,1
484,graci x amor felicit feliz navid quier muert,0
485,rajoy cumpl deficit recort impopular cumpl ciudadan siqu nombr merc ciudadan,1
486,form convert ces violenci eta irrevers derech polit congres,1
487,rusi chin propon conden siri onu fin,1
488,xq social retras reunion mes congres necesit consult jefatur x peg telefon,1
489,voy ucm charl rat ver si pas bien,0
490,avis q consej ministr pued llev novedad torn vall caid atent,0
491,interes charl salom berrocal practic dat infoentreten jornadaucjcsep,0
